ID,Titular,Data Creació,Web,Usuari,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Sub,Karma
84, Vivir sobre 5.000 mill. de €: la mina de oro más grande de Europa está en Asturias y es una pesadilla para sus vecinos ,2021-04-10 09:51:54,https://www.xataka.com/ecologia-y-naturaleza/vivir-cinco-mil-millones-euros-mina-oro-grande-europa-esta-asturias-pesadilla-para-sus-vecinos-1/amp?__twitter_impression=true,rodda2206,338,5782,76,130,208,3,actualidad,524
85," II República ""Mataban a los intelectuales, a los que sabían algo, para que no avanzaran en la vida, y así los ",2021-04-10 09:16:21,https://twitter.com/laSextaColumna/status/1380614995814182913?s=19,rodda2206,772,3817,163,311,461,11,actualidad,382
86," Joven detenido en Vallecas denuncia que dos guardias civiles le han dado ""una paliza"" en los juzgados ",2021-04-10 08:31:56,https://www.publico.es/sociedad/disturbios-vallecas-jovenes-detenidos-vallecas-denuncia-guardias-civiles-le-han-dado-paliza-juzgados.html,Clarinius,836,3650,122,335,501,26,actualidad,415
87, Prisión permanente revisable para la madre que mató a su hijo de 7 años para hacer «el mayor daño posible» al padre ,2021-04-10 09:15:10,https://www.lavozdeasturias.es/noticia/actualidad/2021/04/09/prision-permanente-revisable-madre-mato-hijo-7-anos-almeria-mayor-dano-posible-padre/00031617962230013678859.htm,Verdaderofalso,559,1869,201,246,313,5,actualidad,423
88," Scriabin interpreta Scriabin, étude Op 8 Nr. 12 para piano ",2021-04-10 01:51:57,https://www.youtube.com/watch?v=VfYMFNjSMnU,Waskachu,89,1363,16,51,38,0,cultura,418
89," Shannon Wait, la joven empleada que se enfrentó a Google y le ganó ",2021-04-09 23:49:36,https://www.bbc.com/mundo/noticias-56671718,TresPiesAlGato,297,4568,46,126,171,0,actualidad,361
90," ¿Es un pájaro? ¿Es un avión? No, es un gigantesco jurel que se grabó en la serie Blue Planet II ",2021-04-10 07:36:03,https://www.vistaalmar.es/especies-marinas/general/6976-es-un-pajaro-es-un-avion-no-es-gigantesco-jurel-blue-planet-ii.html,Larpeirán,209,6966,27,110,99,1,ocio,393
91, Fin del teletrabajo para Amazon y Google ,2021-04-09 23:27:02,https://magnet.xataka.com/en-diez-minutos/amazon-google-se-han-cansado-teletrabajo-regreso-a-oficina-esta-a-vuelta-esquina,caracol_aventurero,274,4052,206,119,155,0,actualidad,379
92, Un periodista refugiado palestino denuncia un interrogatorio ilegal de la Guardia Civil y el Mossad en Madrid ,2021-04-10 01:19:18,https://www.publico.es/politica/guardia-civil-mossad-periodista-refugiado-palestino-espana-denuncia-interrogatorio-ilegal-guardia-civil-mossad-madrid.html,Tiopio,634,1378,52,241,393,7,actualidad,334
93, Querella de Boye y 44 abogados contra la jueza Tardón por encubrir un asesinato ,2021-04-09 20:23:22,https://www.elnacional.cat/es/politica/querella-boye-44-abogados-jueza-tardon-encubrimiento-asesinato_599333_102.html,candonga1,393,1600,93,144,249,24,actualidad,373
94, ¿Crisis? ¿Qué crisis? Rolls-Royce ha batido su récord de ventas esta primera parte del año ,2021-04-09 19:46:53,https://www.topgear.es/noticias/garaje/crisis-crisis-rolls-royce-ha-batido-record-ventas-primera-parte-ano-845051,Meneador_Compulsivo,306,853,53,131,175,2,actualidad,362
95, Los mendigos del mar: la piratería en tiempos del rey Felipe II ,2021-04-10 00:07:05,https://www.ocesaronada.net/los-mendigos-del-mar/,Skar2791,89,1188,9,49,40,0,cultura,386
96," «Silencio, que estoy leyendo la prensa», pide un padre de familia mientras revisa memes fascistas en Whatsapp ",2021-04-09 15:50:43,https://www.elmundotoday.com/2021/04/silencio-que-estoy-leyendo-la-prensa-pide-un-padre-de-familia-mientras-revisa-memes-fascistas-en-whatsapp/,halcondeoro,459,972,43,213,246,13,ocio,352
97, Exigen al Gobierno que anule la inmatriculación del Patio de los Naranjos para que sea otra vez una plaza pública ,2021-04-09 20:07:26,https://www.eldiario.es/andalucia/sevilla/exigen-gobierno-anule-inmatriculacion-patio-naranjos-sea-vez-plaza-publica-sevilla_1_7393944.html,nereira,390,398,14,153,237,2,cultura,358
98, El Sol como nunca lo viste gracias a una foto de 230 megapíxeles ,2021-04-09 21:18:24,https://hipertextual.com/2021/04/sorprendente-foto-del-sol-230-megapixeles,bercio,134,3774,12,69,65,0,ciencia,328
99, La Junta Electoral de Madrid ordena la retirada del cartel gigante de Gabilondo de Callao ,2021-04-09 21:00:55,https://cadenaser.com/emisora/2021/04/09/radio_madrid/1617993886_803154.html?ssm=tw,Nividhia,167,1851,55,69,98,0,politica,392
100, El conductor de la excavadora del canal de Suez durmió 3 horas al día; no le pagaron aún las horas extras ,2021-04-09 23:45:47,https://www.businessinsider.es/conductor-excavadora-canal-suez-durmio-3-horas-dia-844753?amp=1&__twitter_impression=true,rodda2206,541,1640,56,200,341,2,actualidad,383
101, Esa oferta de trabajo en LinkedIn es falsa: el archivo zip te instalará una puerta trasera abierta para atacantes ,2021-04-09 14:21:22,https://www.xataka.com/pro/esa-oferta-trabajo-linkedin-falsa-archivo-zip-te-instalara-puerta-trasera-abierta-para-atacantes,me_joneo_pensando_en_ti,134,782,23,61,73,0,tecnología,370
102," ""Ya no doy más"": mujer chilena se suicidó tras denunciar violencia y amenazas de su expareja ",2021-04-09 21:29:10,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2021/04/09/ya-no-doy-mas-mujer-de-37-anos-se-suicido-tras-denunciar-violencia-y-amenazas-de-su-expareja.shtml,Ratoncolorao,361,1238,59,149,212,10,actualidad,376
103, Recopilación de bulos de la extrema derecha española de marzo de 2021 ,2021-04-09 19:34:29,https://aldescubierto.org/2021/04/09/recopilacion-de-bulos-de-la-extrema-derecha-espanola-de-marzo-de-2021/,kain_666,321,4036,73,267,54,66,actualidad,420
104," José Ribera. Sádico, mafioso y putero ",2021-04-09 22:00:26,https://historia-arte.com/articulos/jose-ribera,Mysanthropus,110,2458,16,53,57,3,cultura,434
105, La treta de Toni Cantó para ser candidato del PP: renovó su DNI con dirección de Madrid unos días antes de registrar... ,2021-04-09 22:37:32,https://www.eldiario.es/madrid/toni-canto-exalcalde-toledo-cambiaron-direccion-dni-dias-registro-listas_1_7392533.html,anasmoon,659,1832,88,266,393,17,actualidad,467
106, Irlanda del Norte: a qué se debe el estallido de violencia que revive fantasmas del pasado ,2021-04-09 20:47:22,https://www.bbc.com/mundo/noticias-internacional-56685116,ángel.,221,3761,19,106,115,0,actualidad,433
107," La vida y filosofía de Javier Krahe, a ritmo de anécdotas ",2021-04-09 18:31:21,https://www.rtve.es/noticias/20210409/javier-krahe-biografia/2085129.shtml,painful,232,2645,26,119,113,1,cultura,427
108, Por qué no hay que marcar las casillas de la iglesia católica ni la de fines sociales en el IRPF ,2021-04-09 21:24:12,https://youtu.be/7Bpwf1dbYRE,javierchiclana,582,4690,80,255,327,12,politica,412
109, Los trabajadores de Amazon votaron y rechazaron tener un sindicato en la empresa ,2021-04-09 18:38:24,https://www.infobae.com/america/eeuu/2021/04/09/los-trabajadores-de-amazon-votaron-y-rechazaron-tener-un-sindicato-en-la-empresa/,nereira,379,1459,200,182,197,2,actualidad,404
110," Justifica el crimen de su pareja: ""Te amo tanto que antes de perdonarte te mato"" ",2021-04-09 13:59:22,https://www.lainformacion.com/arte-cultura-y-espectaculos/asi-justifica-crimen-pareja-carta-te-amo-tanto-antes-perdonarte-te-mato/2834809/,cestdufoot,246,1915,136,136,110,4,actualidad,340
111, El dopaje mecánico de Lance Armstrong y el motor en su bicicleta ,2021-04-09 17:33:54,https://www.iberobike.com/el-dopaje-mecanico-de-lace-armstrong-el-motor-en-su-bicicleta/,filosofo,358,15103,153,148,210,40,ocio,420
112,"  La televisión gallega arrincona en directo a una joven de 20 años para que se reúna con su expareja, de la que se separ ",2021-04-09 18:41:26,https://www.eldiario.es/galicia/politica/video-television-publica-gallega-arrincona-directo-joven-20-anos-reuna-expareja-separo-conducta-controladora_1_7393272.html?fbclid=IwAR3jXfAbv2BsTrDOqF8GQDlz3QhlgKM7lyhfF6UzTFL2HteIWPKkdLZSmC0,Maddoctor,651,7450,162,235,416,48,actualidad,604
113," EMA inicia revisión vacuna de Johnson and Johnson, Janssen, tras tromboembolias ",2021-04-09 14:48:29,http://www.ansalatina.com/americalatina/noticia/sociedad/2021/04/09/ema-inicia-revision-janssen-tras-tromboembolias_47a970f9-658a-4134-b371-131f43d9b24c.html,Blat,265,1688,108,121,144,0,vacúname,372
114, Transforman por primera vez astrocitos en neuronas para reparar circuitos visuales ,2021-04-08 22:09:52,https://www.agenciasinc.es/Noticias/Transforman-por-primera-vez-astrocitos-en-neuronas-para-reparar-circuitos-visuales,eldarel,293,662,9,136,157,0,ciencia,407
115, Varapalo a Hacienda y la Abogacía del Estado: la Audiencia Provincial vuelve a absolver a Xabi Alonso de delito fiscal ,2021-04-09 15:59:09,https://www.elmundo.es/deportes/futbol/2021/04/09/60700af821efa0417c8b45f9.html?cid=BESOCYEM01,dirok,331,1463,103,141,190,1,actualidad,466
116, ¿Por qué un policía pega a un periodista? ,2021-04-09 10:09:53,https://blogs.publico.es/otrasmiradas/47922/por-que-un-policia-pega-a-periodistas/,radiolasmatas,667,4360,78,280,387,37,actualidad,425
117," Cámara antropomórfica que mira, parpadea y te observa [EN] ",2021-04-09 15:00:54,https://marcteyssier.com/projects/eyecam/,Regreso,103,3657,44,71,32,2,tecnología,396
118," Los linajudos, chantajistas genealógicos del Siglo de Oro ",2021-04-09 07:19:38,https://theconversation.com/los-linajudos-chantajistas-genealogicos-del-siglo-de-oro-156466,Ripio,93,1249,17,50,43,0,cultura,399
119," Israel no paga, Pfizer suspende vacunas y medios. Jerusalem Post: bloqueadas 700.000 dosis ",2021-04-09 15:30:15,http://www.ansalatina.com/americalatina/noticia/mundo/2021/04/05/israel-non-paga-pfizer-suspende-vacunas-medios_d05fb92f-3b08-4257-abda-06642d7a6a73.html,Stajanov,471,2085,151,202,269,3,actualidad,408
120," ""Si se aprueba sería histórico"": 5 claves para entender qué es un impuesto mínimo global a las multinacionales ",2021-04-09 08:44:56,https://www.bbc.com/mundo/noticias-56678736,TresPiesAlGato,599,3375,105,242,357,1,actualidad,433
121," Agresión homófoba en Sol: un hombre intenta ahogar a otro ""por maricón"" ",2021-04-09 11:57:25,https://www.20minutos.es/noticia/4649503/0/agresion-homofoba-en-sol-un-hombre-intenta-ahogar-a-otro-por-maricon/,Islu,501,1896,146,220,281,14,actualidad,399
122, Reparar dispositivos Apple es difícil porque Apple los diseña así a posta ,2021-04-09 11:21:24,https://hardwaresfera.com/noticias/otros/reparar-dispositivos-apple-disena-a-posta/,Regord,454,2947,156,181,273,11,tecnología,375
123, Mis curiosidades: 3 mapas antiguos extraños y bellos ,2021-04-08 19:39:40,https://auxilili.blogspot.com/2021/04/mapas-antiguos.html,Punisher92,94,2276,5,56,38,1,cultura,372
124, Multado por saltarse el cierre perimetral cuando iba a comprar comida para su mujer celiaca ,2021-04-09 12:30:25,https://www.20minutos.es/noticia/4648533/0/hombre-recibe-multa-601-euros-violar-cierre-perimetral-comprar-comida-sin-gluten-mujer/,Currela,774,3287,262,279,495,8,actualidad,402
125, Kim Jong-un admite que Corea del Norte atraviesa una crisis similar a la gran hambruna de los 90 ,2021-04-09 12:17:49,https://es.ara.cat/internacional/kim-jong-admite-corea-norte-atraviesa-crisis-similar-gran-hambruna-90_1_3941971.html,lainDev,324,1591,177,138,186,16,actualidad,420
126," Muere el príncipe Felipe, marido de la reina Isabel II ",2021-04-09 13:09:09,https://mundo.sputniknews.com/20210409/muere-el-principe-felipe-marido-de-la-reina-isabel-ii-1108998007.html,A_D,396,2413,181,230,166,10,actualidad,821
127," Draghi tilda de ""dictador"" a Erdogan y lamenta la ""humillación"" a Von der Leyen ",2021-04-09 09:32:31,https://www.huffingtonpost.es/entry/draghi-tilda-de-dictador-a-erdogan-y-lamenta-la-humillacion-a-von-der-leyen_es_606fd027c5b6a74b3bd89321,Yorga77,539,2752,50,199,340,0,politica,473
128, Las operadoras acuerdan con La Coalición un nuevo sistema de bloqueo de páginas web piratas ,2021-04-09 09:56:40,https://bandaancha.eu/articulos/operadoras-acuerdan-coalicion-bloquear-9878,Left_Side,331,2495,245,165,166,0,actualidad,448
129, Pablo Iglesias confirma que no se presentará a la reelección como secretario general de Unidas Podemos ,2021-04-09 10:16:24,https://www.20minutos.es/noticia/4649588/0/pablo-iglesias-confirma-que-no-se-presentara-a-la-reeleccion-como-secretario-general-de-unidas-podemos/,libtalker,757,1459,583,389,368,5,actualidad,413
130, Mutaciones en el PP ,2021-04-09 10:13:59,https://www.diariodesevilla.es/miki-duarte/Juanma-Moreno-PP-estado-de-alarma_0_1563145799.html,Uvieu1926,314,6600,24,136,178,7,ocio,381
131, Suspenden de empleo y sueldo durante un año y siete meses al policía local que se negaba a usar mascarilla ,2021-04-08 22:39:03,https://cadenaser.com/emisora/2021/04/08/radio_alicante/1617903866_352226.html,coldchiliandhotchilly,492,1986,114,215,277,1,actualidad,368
132, Cruelty Free International destapa imágenes de extrema crueldad animal en el laboratorio Vivotecnia de Madrid ,2021-04-09 09:26:07,https://www.eldiario.es/caballodenietzsche/cruelty-free-international-experimentacion-animal-crueldad-animal-laboratorio-vivotecnia-madrid_132_7389157.html,News333,848,5142,129,307,541,7,actualidad,426
133, LaLiga no encuentra pruebas contra Juan Cala ,2021-04-08 23:51:09,https://www.marca.com/futbol/cadiz/2021/04/08/606f7188ca474133118b4609.html,DRAG0NER0,229,2557,176,121,108,21,actualidad,383
134, Pantomima Full - Minimalista ,2021-04-09 09:36:42,https://www.youtube.com/watch?v=llOSTT_-NuI,BestiaConFormaHumana,315,11943,72,181,134,8,ocio,495
135, Toni Cantó se contradice a si mismo en TVE ,2021-04-08 17:37:48,https://twitter.com/lhermoso_/status/1380071216778772480?s=19,Uvieu1926,600,7425,153,246,354,41,politica,376
136, El secadero de Teruel que vendió en tres días los 3.000 jamones que tenía en stock por la caída de la hostelería ,2021-04-09 07:41:04,https://www.eldiario.es/aragon/economia/empresa-teruel-vende-3-000-jamones-tres-dias-traves-redes-sociales_1_7385362.html,rodda2206,460,8125,92,205,255,1,actualidad,495
137, Un concejal del PP imputado por corrupción oculta su identidad para vender ropa con la imagen de Ayuso... ,2021-04-09 05:58:42,https://www.eldiario.es/madrid/concejal-pp-acusado-prevaricacion-abre-tienda-camisetas-polos-ayuso_1_7387875.html,candonga1,557,2642,73,197,360,21,politica,406
138, Mono jugando a Pong con implante cerebral de Neuralink ,2021-04-09 02:36:18,https://www.youtube.com/watch?v=rsCul1sp4hQ&ab_channel=Neuralink,hovercraft85,288,7030,86,154,134,0,tecnología,445
139, Mejilloneros de Arousa contratan vigilancia con drones ante el aumento de robos en sus bateas ,2021-04-08 23:28:01,https://www.lavozdegalicia.es/noticia/arousa/a-illa-de-arousa/2021/04/08/mejilloneros-arousa-contratan-vigilancia-drones-ante-aumento-robos-bateas/0003_202104G8P32993.htm,pazmegayok,253,778,38,95,158,0,actualidad,342
140, EEUU avisa que se verá obligado a intervenir en Taiwán y Filipinas si China no cesa sus hostilidades ,2021-04-08 16:37:52,https://www.catalunyapress.es/texto-diario/mostrar/2827306/eeuu-avisa-vera-obligado-intervenir-taiwan-filipinas-china-no-cesa-hostilidades,SrYonkus,291,1550,182,129,162,0,actualidad,335
141, Sanidad aprueba elevar la edad para vacunar con AstraZeneca hasta los 69 años ,2021-04-08 19:27:33,https://www.eldiario.es/sociedad/sanidad-aprueba-administrar-astrazeneca-poblacion-general-66-69-anos_1_7390076.html,KarMalone,194,550,89,103,91,1,actualidad,323
142, Cómo tiene que aumentar el ritmo de vacunación para alcanzar el 70% de vacunados en agosto ,2021-04-08 07:36:13,https://www.xataka.com/medicina-y-salud/objetivos-gobierno-frente-a-realidad-como-tiene-que-aumentar-ritmo-vacunacion-para-alcanzar-70-vacunados-agosto,Bauman83,143,3583,42,61,82,3,vacúname,354
143, El oído absoluto de los animales ,2021-04-08 22:48:36,https://culturacientifica.com/2021/04/08/el-oido-absoluto-de-los-animales/,painful,329,3717,39,176,153,0,ciencia,363
144, Medusas con plástico en su interior evidencian el impacto de la contaminación en los océanos ,2021-04-08 22:00:45,https://www.ulpgc.es/noticia/medusas-plastico-su-interior-evidencian-impacto-contaminacion-oceanos,Meneador_Compulsivo,295,2227,7,105,190,0,cultura,409
145, Ocultos de culto para tu Super Nintendo ,2021-04-08 18:52:34,https://milkbaronline.org/ocultos-de-culto-para-tu-super-nintendo,PauvreGaspard,102,4010,51,58,44,11,tecnología,402
146," Ex jugador de la NFL Phillip Adams, mata a cinco personas en un tiroteo y después se suicida ",2021-04-08 21:26:26,https://www.milenio.com/deportes/americano/phillip-adams-nfl-mata-personas-suicida-eu,FisionBoy,258,3163,70,130,128,1,actualidad,378
147, Ojalá se revisase la homeopatía como la vacuna de Astrazeneca ,2021-04-08 22:56:41,https://www.redaccionmedica.com/virico/noticias/ojala-se-revisase-homeopatia-mitad-vacuna-covid-astrazeneca-2450,Dadrio,682,1211,109,294,388,7,actualidad,374
148,Descubre los últimos modelos 3D del virus SARS-CoV-2 con resolución atómica,2021-04-07 09:39:28,https://www.meneame.net/story/descubre-ultimos-modelos-3d-virus-sars-cov-2-resolucion-atomica,Ergo,52,1858,1,30,22,0,Artículos,97
149," Tebas: ""Sabemos quién insultó a Diakhaby y tiene acento sudamericano. No es Cala"" ",2021-04-08 18:38:09,https://www.elperiodico.com/es/deportes/20210408/tebas-insulto-diakhaby-acento-sudamericano-11643068,Vergonya,168,1928,162,73,95,11,actualidad,374
150," Ortega Smith ayer en Vallecas: ""La mayoría de esta gente es gentuza"" ",2021-04-08 21:15:38,https://www.abc.es/espana/abci-ortega-smith-vallecas-mayoria-esta-gente-gentuza-estudia-trabaja-espera-202104072036_video.html,Casiopeo,601,2503,117,219,382,32,actualidad,403
151," Yolanda Díaz: “Voy a tender puentes, la política del ruido y los muros no conduce a nada” ",2021-04-08 22:03:17,https://www.infolibre.es/noticias/politica/2021/04/09/yolanda_diaz_voy_tender_puentes_politica_del_ruido_los_muros_no_conduce_nada_119043_1012.html,Esteban_Rosador,679,2192,189,305,374,6,politica,457
152, España bate el récord de dosis diarias administradas: 453.682 en las últimas 24 horas ,2021-04-08 22:24:54,https://www.infosalus.com/asistencia/noticia-espana-bate-record-dosis-diarias-administradas-453682-ultimas-24-horas-20210408184828.html,Uvieu1926,294,780,75,141,153,4,actualidad,391
153, El Tribunal Europeo de Derechos Humanos dictamina que la vacunación obligatoria es necesaria en una sociedad democrática ,2021-04-08 20:26:33,https://actualidad.rt.com/actualidad/388797-tribunal-europeo-derechos-humanos-vacunacion-obligatoria,me_joneo_pensando_en_ti,489,919,154,235,254,2,actualidad,379
154," Marruecos mata con un dron al jefe de la gendarmería del Polisario, Adaj el Bendir ",2021-04-08 20:48:55,https://www.abc.es/internacional/abci-marruecos-abate-dron-jefe-gendarmeria-polisario-adaj-bendir-202104081804_noticia.html,Meneador_Compulsivo,596,1389,70,224,372,1,actualidad,431
155, Pedro Duque anuncia en León que «pronto» comenzarán «las pruebas clínicas» con las vacunas españolas ,2021-04-08 18:31:23,https://www.leonoticias.com/leon/pedro-duque-anuncia-leon-espana-pronto-comenzara-pruebas-clinica-vacuna-20210408141345-nt.html?ref=https://www.elbierzonoticias.com/,Froku,416,927,66,168,248,1,ciencia,360
156, Dar tu DNI en Wallapop e internet te puede costar un infierno de juicios y denuncias ,2021-04-08 10:42:28,https://www.genbeta.com/actualidad/algo-inocente-como-dar-tu-dni-wallapop-internet-te-puede-costar-infierno-meses-denuncias-juicios,sam2001,386,7838,107,171,215,0,actualidad,375
157, Francia aprueba por sorpresa la Ley de promoción de las lenguas regionales y permite la inmersión lingüística educativa ,2021-04-08 20:08:21,https://www.lefigaro.fr/actualite-france/la-promotion-des-langues-regionales-arrive-a-l-assemblee-nationale-20210407,sareando,440,928,174,193,247,3,cultura,412
158, El descalabro de Facebook deja una lección importante: los SMS no sirven como sistema de autenticación en dos pasos ,2021-04-08 17:48:01,https://www.xataka.com/seguridad/descalabro-facebook-deja-leccion-importante-sms-no-sirven-como-sistema-autenticacion-dos-pasos,juan87,283,4139,97,112,171,3,tecnología,344
159, El fin de la era de la gasolina: su demanda tocó techo en 2019 y no volverá a recuperarse ,2021-04-08 15:36:02,https://www.eleconomista.es/mercados-cotizaciones/noticias/11147824/04/21/Economia-La-AIE-estima-un-reequilibrio-en-el-mercado-mundial-de-petroleo-tras-la-caida-sin-precedentes-por-el-Covid19.html,Chabelitaenanita,290,1609,92,120,170,0,actualidad,359
160, Pablo Iglesias propone retirar todas las ayudas a la tauromaquia ,2021-04-08 16:01:24,https://www.elconfidencial.com/espana/madrid/2021-04-08/pablo-iglesias-propone-retirar-ayudas-tauromaquia-madrid_3025660/,Wurmspiralmaschine,812,816,245,213,599,37,actualidad,361
161, Dos presidentes visitaron Turquía. Solo al hombre se le ofreció una silla ,2021-04-08 15:28:37,https://www.nytimes.com/es/2021/04/07/espanol/turquia-Ursula-von-der-Leyen.html,lainDev,567,4857,153,217,350,3,actualidad,324
162, BlackRock: vacunas en manos de oscuros fondos ,2021-04-08 10:43:50,https://lasoga.org/blackrock-pzifer-vacunas/,BejarBurel,664,2113,72,225,439,11,actualidad,371
163, Un agente antidisturbios lanza una piedra a los manifestantes ayer en Vallecas ,2021-04-08 16:30:35,https://twitter.com/Miquel_R/status/1380161401981919240,nitsuga.blisset,1279,13725,282,495,784,11,actualidad,503
164," Francisco José Contreras (Vox): ""Si se calienta un poco el planeta, se reducirán las muertes por frío"" ",2021-04-08 15:21:15,https://www.lasexta.com/noticias/nacional/francisco-jose-contreras-vox-si-se-calienta-un-poco-el-planeta-se-reduciran-las-muertes-por-frio_20210408606efe615cf6d70001f6d421.html,Mis_cojones_en_bata,1065,2089,201,407,658,4,actualidad,385
165, Este es el origen del nombre de las montañas más emblemáticas del mundo ,2021-04-08 14:09:16,https://viajes.nationalgeographic.com.es/lifestyle/este-es-origen-nombre-montanas-mas-emblematicas-mundo_16679,Octaviano,136,3659,29,70,66,0,cultura,348
166," Encuentran en Egipto el 'Ascenso de Atón', el descubrimiento más importante desde la tumba de Tutankamón ",2021-04-08 15:38:23,https://www.20minutos.es/noticia/4648655/0/encuentran-en-egipto-bajo-la-arena-una-gran-ciudad-perdida-de-3-000-anos/,Currela,288,3204,43,136,152,0,actualidad,389
